date	source	country	level	area	tot_case	cur_admit	tot_recover	tot_death	house
20131202	NEJMoa1404505	GIN	0	Guinea	1			0	0
20131202	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20131202	NEJMoa1404505	GIN	2	Macenta	0			0	0
20131202	NEJMoa1404505	GIN	2	Gueckedou	1			0	0
20131209	NEJMoa1404505	GIN	0	Guinea	1			1	0
20131209	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20131209	NEJMoa1404505	GIN	2	Macenta	0			0	0
20131209	NEJMoa1404505	GIN	2	Gueckedou	1			1	0
20131216	NEJMoa1404505	GIN	0	Guinea	4			1	0
20131216	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20131216	NEJMoa1404505	GIN	2	Macenta	0			0	0
20131216	NEJMoa1404505	GIN	2	Gueckedou	4			1	0
20131223	NEJMoa1404505	GIN	0	Guinea	4			4	0
20131223	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20131223	NEJMoa1404505	GIN	2	Macenta	0			0	0
20131223	NEJMoa1404505	GIN	2	Gueckedou	4			4	0
20131230	NEJMoa1404505	GIN	0	Guinea	4			4	0
20131230	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20131230	NEJMoa1404505	GIN	2	Macenta	0			0	0
20131230	NEJMoa1404505	GIN	2	Gueckedou	4			4	0
20140106	NEJMoa1404505	GIN	0	Guinea	4			4	0
20140106	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20140106	NEJMoa1404505	GIN	2	Macenta	0			0	0
20140106	NEJMoa1404505	GIN	2	Gueckedou	4			4	0
20140113	NEJMoa1404505	GIN	0	Guinea	7			4	0
20140113	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20140113	NEJMoa1404505	GIN	2	Macenta	0			0	0
20140113	NEJMoa1404505	GIN	2	Gueckedou	7			4	0
20140120	NEJMoa1404505	GIN	0	Guinea	10			7	0
20140120	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20140120	NEJMoa1404505	GIN	2	Macenta	0			0	0
20140120	NEJMoa1404505	GIN	2	Gueckedou	10			7	0
20140127	NEJMoa1404505	GIN	0	Guinea	15			10	0
20140127	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20140127	NEJMoa1404505	GIN	2	Macenta	0			0	0
20140127	NEJMoa1404505	GIN	2	Gueckedou	15			10	0
20140203	NEJMoa1404505	GIN	0	Guinea	18			15	0
20140203	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20140203	NEJMoa1404505	GIN	2	Macenta	0			0	0
20140203	NEJMoa1404505	GIN	2	Gueckedou	18			15	0
20140210	NEJMoa1404505	GIN	0	Guinea	22			18	0
20140210	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20140210	NEJMoa1404505	GIN	2	Macenta	2			0	0
20140210	NEJMoa1404505	GIN	2	Gueckedou	20			18	0
20140217	NEJMoa1404505	GIN	0	Guinea	39			22	0
20140217	NEJMoa1404505	GIN	2	Kissidougou	0			0	0
20140217	NEJMoa1404505	GIN	2	Macenta	5			2	0
20140217	NEJMoa1404505	GIN	2	Gueckedou	34			20	0
20140224	NEJMoa1404505	GIN	0	Guinea	48			34	0
20140224	NEJMoa1404505	GIN	2	Kissidougou	2			0	0
20140224	NEJMoa1404505	GIN	2	Macenta	7			5	0
20140224	NEJMoa1404505	GIN	2	Gueckedou	39			29	0
20140303	NEJMoa1404505	GIN	0	Guinea	81			40	0
20140303	NEJMoa1404505	GIN	2	Kissidougou	4			2	0
20140303	NEJMoa1404505	GIN	2	Macenta	14			7	0
20140303	NEJMoa1404505	GIN	2	Gueckedou	63			31	0
20140310	NEJMoa1404505	GIN	0	Guinea	100			65	0
20140310	NEJMoa1404505	GIN	2	Kissidougou	7			3	0
20140310	NEJMoa1404505	GIN	2	Macenta	19			12	0
20140310	NEJMoa1404505	GIN	2	Gueckedou	74			50	0
20140317	NEJMoa1404505	GIN	0	Guinea	111			72	0
20140317	NEJMoa1404505	GIN	2	Kissidougou	8			5	0
20140317	NEJMoa1404505	GIN	2	Macenta	23			12	0
20140317	NEJMoa1404505	GIN	2	Gueckedou	80			55	0
20140410	WHO	LBR	0	Liberia	12			2	0
20140410	WHO	LBR	1	Lofa	9				0
20140410	WHO	LBR	1	Monteserrado	1			1	0
20140410	WHO	LBR	1	Margibi	1			1	0
20140410	WHO	LBR	1	Nimba	1			0	0
20140502	WHO	GIN	0	Guinea	226			149	0
20140502	WHO	GIN	2	Conakry	53			24	0
20140502	WHO	GIN	2	Gueckedou	140			99	0
20140502	WHO	GIN	2	Macenta	22			16	0
20140502	WHO	GIN	2	Kissidougou	6			5	0
20140502	WHO	GIN	2	Dabola	4			4	0
20140502	WHO	GIN	2	Dinguiraye	1			1	0
20140505	WHO	GIN	0	Guinea	231			155	0
20140505	WHO	GIN	2	Conakry	53			24	0
20140505	WHO	GIN	2	Gueckedou	145			105	0
20140505	WHO	GIN	2	Macenta	22			16	0
20140505	WHO	GIN	2	Kissidougou	6			5	0
20140505	WHO	GIN	2	Dabola	4			4	0
